,file,component_0,formattedMessage_0,message_0,severity_0,sourceLocation_0,type_0,component_1,formattedMessage_1,message_1,severity_1,type_1,sourceLocation_1
0,0x45ed48611aaa13b10aa2af1a954ed164e8662d36,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/modules/uniswap/v3/V3SwapRouter.sol:172:20:
    |
172 |             int256(amount),
    |                    ^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 8063, 'file': 'contracts/modules/uniswap/v3/V3SwapRouter.sol', 'start': 8057}",CompilerError,,,,,,
1,0x458fdd189783e3b9b1347f8e957c15b76e8917b6,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/Pool.sol:997:13:
    |
997 |             encodedLoanReceipt[0:0],
    |             ^^^^^^^^^^^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 34115, 'file': 'contracts/Pool.sol', 'start': 34097}",CompilerError,,,,,,
2,0xb3571964b50cf4174edf5c57e919eb65a971f567,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.

","Compiler error (/solidity/libsolidity/codegen/CompilerUtils.cpp:1464): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,,CompilerError,,,,,,
3,0xc0bc18e4554d083370c835e259170ce43071b4bc,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/libraries/PositionUtil.sol:180:43:
    |
180 |                         sizeDelta: uint96(_param.sizeDelta.subU128(lpNetSize)),
    |                                           ^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 6370, 'file': 'contracts/libraries/PositionUtil.sol', 'start': 6364}",CompilerError,,,,,,
4,0x6160256ef7d415495c885fc3f5dbb3c4d7140072,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable value0 is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.

","Compiler error (/solidity/libyul/backends/evm/AsmCodeGen.cpp:63): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable value0 is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,,CompilerError,,,,,,
5,0xbc362205cdd9a390374d62a262928d50e47aafd9,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
  --> src/lib/BunniSwapMath.sol:89:42:
   |
89 |                     sqrtPriceCurrentX96: input.sqrtPriceX96,
   |                                          ^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 4255, 'file': 'src/lib/BunniSwapMath.sol', 'start': 4250}",CompilerError,,,,,,
6,0xdbf52908efcdf3c64b6ae279a4bf1ebcce9e24f9,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable offset is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.

","Compiler error (/solidity/libyul/backends/evm/AsmCodeGen.cpp:63): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable offset is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,,CompilerError,,,,,,
7,0x730e7916a2a2f10156581ab5b7ac4d57ff608f41,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/BorrowLogic.sol:448:13:
    |
448 |             self.liquidity.restore(
    |             ^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 17950, 'file': 'contracts/BorrowLogic.sol', 'start': 17946}",CompilerError,,,,,,
8,0xb5fbc7b75783a1df01c95cf8f58206ff589a100d,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> 2025/marketplace/ArtMarketplaceV7.sol:654:17:
    |
654 |                 collection,
    |                 ^^^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 23108, 'file': '2025/marketplace/ArtMarketplaceV7.sol', 'start': 23098}",CompilerError,,,,,,
9,0xb74bc0cf31630be2dfeddc3ad5d77c84ea1ff89d,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/libraries/PositionLibrary.sol:817:48:
    |
817 |                                     primexDNS: _pmParams.primexDNS,
    |                                                ^^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 34673, 'file': 'contracts/libraries/PositionLibrary.sol', 'start': 34664}",CompilerError,,,,,,
10,0xc4ab94075b209fe18759208fa0355c5037f82bdd,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> src/Pool.sol:359:32:
    |
359 |             uint256 __amount = amounts_[t];
    |                                ^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 15913, 'file': 'src/Pool.sol', 'start': 15905}",CompilerError,,,,,,
11,0xa1e04e399f92bf0a10d6ace3c98f511e52106a2b,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable offset is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.

","Compiler error (/solidity/libyul/backends/evm/AsmCodeGen.cpp:63): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables. When compiling inline assembly: Variable offset is 2 slot(s) too deep inside the stack. Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,,CompilerError,,,,,,
12,0xa520c05a94895054d87df3e1abc19c6613a7d34b,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> MarginalV1Pool.sol:557:17:
    |
557 |                 data
    |                 ^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 19091, 'file': 'MarginalV1Pool.sol', 'start': 19087}",CompilerError,,,,,,
13,0xeff87a51f5abd015f1afcd5737bbab450ea15a24,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
  --> contracts/modules/uniswap/v2/V2SwapRouter.sol:68:24:
   |
68 |                     : (recipient, address(0));
   |                        ^^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 3446, 'file': 'contracts/modules/uniswap/v2/V2SwapRouter.sol', 'start': 3437}",CompilerError,,,,,,
14,0x3e46233c770017be2f88147aaefcb645c5c85e81,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
  --> contracts/modules/uniswap/v2/V2SwapRouter.sol:40:24:
   |
40 |                     : (recipient, address(0));
   |                        ^^^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 2182, 'file': 'contracts/modules/uniswap/v2/V2SwapRouter.sol', 'start': 2173}",CompilerError,,,,,,
15,0xb94e7ed1048fdc02370f0eda99c6039396bb206f,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/BorrowLogic.sol:422:13:
    |
422 |             self.liquidity.restore(
    |             ^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 16592, 'file': 'contracts/BorrowLogic.sol', 'start': 16588}",CompilerError,,,,,,
16,0x163c2002ef07de94bc3554c581f418bed85d17fc,general,"CompilerError: Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.
   --> contracts/agent-platform/utility-agent/AgentFactory.sol:213:32:
    |
213 |         address agent = agents[agentId];
    |                                ^^^^^^^

","Compiler error (/solidity/libsolidity/codegen/LValue.cpp:50): Stack too deep. Try compiling with `--via-ir` (cli) or the equivalent `viaIR: true` (standard JSON) while enabling the optimizer. Otherwise, try removing local variables.",error,"{'end': 7472, 'file': 'contracts/agent-platform/utility-agent/AgentFactory.sol', 'start': 7465}",CompilerError,,,,,,
